resistant,species,crop,tillage,irrigation,distribution,county
no,Waterhemp,soybean,no,no,field,richardson
no,Waterhemp,soybean,no,no,edges,otoe
no,Waterhemp,soybean,no,no,field,richardson
no,Waterhemp,soybean,no,no,field,washington
no,Waterhemp,soybean,no,no,field,pawnee
no,Waterhemp,soybean,no,no,field,otoe
no,Waterhemp,corn,no,no,field,gage
no,Waterhemp,soybean,no,no,field,lancaster
no,Waterhemp,soybean,no,no,field,jefferson
no,Palmer,corn,no,no,field,furnas
yes,Waterhemp,soybean,no,no,field,richardson
yes,Waterhemp,soybean,no,no,field,cuming
yes,Waterhemp,soybean,no,no,edges,cass
yes,Waterhemp,soybean,yes,no,field,otoe
yes,Waterhemp,soybean,no,no,field,pawnee
yes,Waterhemp,soybean,no,no,field,lancaster
yes,Waterhemp,soybean,no,no,field,sarpy
yes,Waterhemp,soybean,yes,no,field,dakota
yes,Waterhemp,corn,,no,field,burt
yes,Waterhemp,soybean,yes,,field,butler
yes,Waterhemp,corn,yes,no,field,dodge
yes,Palmer,soybean,yes,yes,field,buffalo
yes,Waterhemp,soybean,no,no,field,johnson
yes,Waterhemp,soybean,yes,no,field,washington
yes,Waterhemp,soybean,no,no,field,washington
yes,Waterhemp,soybean,no,no,field,dodge
yes,Waterhemp,soybean,no,no,edges,jefferson
yes,Waterhemp,soybean,no,no,field,lancaster
yes,Waterhemp,soybean,no,no,field,lancaster
yes,Waterhemp,soybean,yes,no,field,cass
yes,Waterhemp,corn,no,no,field,burt
yes,Palmer,soybean,no,no,edges,richardson
yes,Waterhemp,soybean,no,no,field,sarpy
yes,Waterhemp,soybean,yes,yes,field,fillmore
yes,Waterhemp,soybean,no,no,field,pawnee
yes,Waterhemp,soybean,,no,field,washington
yes,Waterhemp,soybean,no,yes,field,polk
yes,Waterhemp,corn,yes,no,field,colfax
yes,Palmer,soybean,yes,no,field,hall
yes,Waterhemp,soybean,no,no,field,pawnee
yes,Waterhemp,soybean,no,no,field,johnson
yes,Waterhemp,soybean,no,no,field,dodge
yes,Waterhemp,soybean,no,no,edges,cass
yes,Waterhemp,soybean,no,no,edges,cass
yes,Waterhemp,soybean,yes,no,field,cass
yes,Waterhemp,soybean,yes,yes,field,fillmore
yes,Waterhemp,soybean,no,no,field,johnson
yes,Waterhemp,soybean,no,no,edges,johnson
yes,Waterhemp,soybean,yes,no,edges,otoe
yes,Waterhemp,soybean,no,no,field,otoe
yes,Waterhemp,soybean,no,no,field,sarpy
