ratio label,species,crop,tillage,irrigation,distribution,county
0.0060,Palmer,wheat,no,no,field,perkins
0.0104,Palmer,corn,no,yes,field,perkins
0.0145,Palmer,corn,no,no,field,perkins
0.0304,Palmer,soybean,no,yes,edges,perkins
0.0050,Palmer,soybean,yes,yes,field,phelps
0.0050,Palmer,soybean,yes,yes,edges,phelps
0.0050,Palmer,soybean,yes,yes,edges,phelps
0.2158,Waterhemp,corn,yes,no,field,polk
2.4368,Waterhemp,soybean,no,yes,field,polk
0.0153,Palmer,corn,no,no,edges,red willow
0.0203,Palmer,corn,no,yes,field,red willow
0.0250,Palmer,corn,no,no,edges,red willow
0.0359,Palmer,corn,no,no,field,red willow
0.2913,Waterhemp,soybean,no,no,field,richardson
0.5128,Waterhemp,soybean,yes,no,field,richardson
0.7483,Waterhemp,soybean,no,no,edges,richardson
0.8307,Waterhemp,soybean,no,no,field,richardson
0.8744,Waterhemp,soybean,no,no,field,richardson
1.0164,Waterhemp,soybean,no,no,field,richardson
1.8809,Palmer,soybean,no,no,edges,richardson
0.3490,Waterhemp,soybean,no,no,field,saline
0.6774,Waterhemp,soybean,no,no,field,saline
0.6932,Waterhemp,soybean,no,no,field,saline
0.0050,Palmer,wheat,no,no,field,saline
0.5337,Waterhemp,soybean,no,no,edges,sarpy
0.7627,Waterhemp,soybean,yes,no,field,sarpy
1.2035,Waterhemp,soybean,no,no,field,sarpy
2.0176,Waterhemp,soybean,no,no,field,sarpy
4.0000,Waterhemp,soybean,no,no,field,sarpy
0.4307,Waterhemp,soybean,yes,no,edges,saunders
0.5268,Waterhemp,soybean,,no,edges,saunders
0.5876,Waterhemp,soybean,no,no,field,saunders
0.0000,Redroot,corn,yes,no,field,sherman
0.0000,Redroot,soybean,no,yes,field,sherman
0.0000,Redroot,corn,yes,no,edges,sherman
0.1179,Waterhemp,corn,no,,edges,thayer
0.2599,Waterhemp,soybean,no,yes,edges,thayer
0.2876,Waterhemp,corn,no,yes,edges,thayer
0.4871,Waterhemp,soybean,,,field,thayer
0.0050,Palmer,soybean,no,yes,edges,thayer
0.5661,Palmer,alfalfa,no,no,field,thayer
0.0050,Palmer,corn,yes,no,field,valley
0.0000,Redroot,soybean,yes,yes,field,valley
0.0000,Redroot,soybean,yes,no,field,valley
0.2877,Waterhemp,soybean,no,no,edges,washington
0.6060,Waterhemp,soybean,no,no,field,washington
0.8868,Waterhemp,soybean,no,no,field,washington
1.5099,Waterhemp,soybean,yes,no,field,washington
1.5103,Waterhemp,soybean,no,no,field,washington
2.3113,Waterhemp,soybean,,no,field,washington
