ratio label,species,crop,tillage,irrigation,distribution,region
0,Palmer,corn,yes,no,field,North Central
0,Palmer,corn,yes,yes,edges,East Central
0,Palmer,corn,no,yes,field,East Central
0,Palmer,soybean,yes,yes,,Northwest
0,Redroot,corn,no,yes,,Northwest
0,Redroot,sorghum,yes,no,field,Northwest
0,Palmer,corn,yes,no,field,East Central
0,Redroot,corn,yes,no,edges,East Central
3.8,Waterhemp,soybean,no,no,field,Southeast
0,Redroot,soybean,yes,no,field,Southeast
1.7,Waterhemp,soybean,no,no,edges,Southeast
1.8,Waterhemp,soybean,no,no,field,Southeast
2.3,Waterhemp,soybean,yes,no,field,Southeast
8,Waterhemp,soybean,yes,no,edges,Southeast
8,Waterhemp,soybean,no,no,field,Southeast
0.7,Waterhemp,soybean,yes,no,edges,Southeast
1.8,Waterhemp,soybean,no,no,field,Southeast
2.3,Waterhemp,soybean,no,no,field,Southeast
4.6,Waterhemp,soybean,no,no,field,Southeast
6.1,Waterhemp,soybean,no,no,field,Southeast
0.1,Palmer,soybean,no,no,edges,Southeast
0,Palmer,corn,no,yes,edges,Southwest
0,Palmer,wheat,no,no,field,Southwest
0,Palmer,corn,no,yes,field,Southwest
0,Palmer,corn,no,no,field,Southwest
0.1,Palmer,soybean,no,yes,edges,Southwest
0,Palmer,soybean,yes,yes,field,South Central
0,Palmer,soybean,yes,yes,edges,South Central
0,Palmer,soybean,yes,yes,edges,South Central
1.1,Waterhemp,corn,yes,no,field,Northeast
0.4,Waterhemp,corn,yes,no,field,East Central
4.9,Waterhemp,soybean,no,yes,field,East Central
0,Palmer,corn,no,no,edges,Southwest
0,Palmer,corn,no,yes,field,Southwest
0.1,Palmer,corn,no,no,edges,Southwest
0.1,Palmer,corn,no,no,field,Southwest
0.6,Waterhemp,soybean,no,no,field,Southeast
1,Waterhemp,soybean,yes,no,field,Southeast
1.5,Waterhemp,soybean,no,no,edges,Southeast
1.7,Waterhemp,soybean,no,no,field,Southeast
1.7,Waterhemp,soybean,no,no,field,Southeast
2,Waterhemp,soybean,no,no,field,Southeast
3.8,Palmer,soybean,no,no,edges,Southeast
0.7,Waterhemp,soybean,no,no,field,Southeast
1.4,Waterhemp,soybean,no,no,field,Southeast
1.4,Waterhemp,soybean,no,no,field,Southeast
0,Palmer,wheat,no,no,field,Southeast
1.1,Waterhemp,soybean,no,no,edges,East Central
1.5,Waterhemp,soybean,yes,no,field,East Central
2.4,Waterhemp,soybean,no,no,field,East Central
4,Waterhemp,soybean,no,no,field,East Central
8,Waterhemp,soybean,no,no,field,East Central
0.9,Waterhemp,soybean,yes,no,edges,East Central
1.1,Waterhemp,soybean,,no,edges,East Central
1.2,Waterhemp,soybean,no,no,field,East Central
3.3,Waterhemp,soybean,yes,yes,field,East Central
0,Redroot,corn,yes,no,field,Central
0,Redroot,soybean,no,yes,field,Central
0,Redroot,corn,yes,no,edges,Central
0,Redroot,soybean,yes,no,field,Northeast
0.2,Waterhemp,corn,no,,edges,Southeast
0.5,Waterhemp,soybean,no,yes,edges,Southeast
0.6,Waterhemp,corn,no,yes,edges,Southeast
1,Waterhemp,soybean,,,field,Southeast
0,Palmer,soybean,no,yes,edges,Southeast
1.1,Palmer,alfalfa,no,no,field,Southeast
0.7,Waterhemp,corn,yes,no,field,Northeast
0,Palmer,corn,yes,no,field,Central
0,Redroot,soybean,yes,yes,field,Central
0,Redroot,soybean,yes,no,field,Central
0.6,Waterhemp,soybean,no,no,edges,East Central
1.2,Waterhemp,soybean,no,no,field,East Central
1.8,Waterhemp,soybean,no,no,field,East Central
3,Waterhemp,soybean,yes,no,field,East Central
3,Waterhemp,soybean,no,no,field,East Central
4.6,Waterhemp,soybean,,no,field,East Central
0,Palmer,corn,yes,yes,field,South Central
3.7,Waterhemp,soybean,yes,no,field,North Central
1,Waterhemp,soybean,no,no,field,East Central
