geneamp,resistant,county,population,latitude ,longitude,currentCrop,tillage,irrigation,populationdistribution,populationdensity,herbicideinjury,previouscrop,greenhouse
13,yes,Keith,Kei.1,41.163793,-101.443197,other,tilled,centerpivot,spread,high,no,fallow/cornstalks,no
12,yes,Keith,Kei.2,41.170795,-101.477058,corn,no-till,centerpivot,spread,intermediate,yes,fallow/cornstalks,yes
1,no,Keith,Kei.3,41.112656,-101.814853,soybeans,tilled,furrow,spread,high,no,,yes
8,yes,Keith,Kei.4,41.105328,-101.854665,soybeans,no-till,centerpivot,spread,low,no,,no
5,yes,Keith,Kei.5,41.072661,-101.883254,other,tilled,centerpivot,spread,low,no,corn,yes
17,yes,Keith,Kei.6,41.090923,-101.7586,soybeans,no-till,centerpivot,spread,high,no,,yes
1,no,Lincoln,Lin.1,41.070242,-100.523869,corn,no-till,centerpivot,spread,high,no,other,no
5,yes,Lincoln,Lin.2,41.04679,-100.597546,soybeans,tilled,centerpivot,spread,low,yes,corn,no
4,yes,Lincoln,Lin.4,41.090601,-100.781644,corn,tilled,furrow,spread,high,no,,no
3,yes,Lincoln,Lin.5,41.082532,-100.848936,corn,no-till,rainfed,spread,high,no,wheatstubble,no
34,yes,Logan,Log.1,41.407938,-100.473926,soybeans,tilled,centerpivot,edges,intermediate,no,fallow/cornstalks,yes
1,no,Logan,Log.2,41.408019,-100.407051,other,no-till,rainfed,spread,intermediate,no,fallow/cornstalks,yes
4,yes,Logan,Log.3,41.407927,-100.391383,soybeans,tilled,centerpivot,edges,high,yes,corn,no
3,yes,Logan,Log.4,41.382704,-100.446747,soybeans,tilled,rainfed,spread,low,no,corn,yes
1,no,Perkins,Per.1,40.885212,-101.84097,other,no-till,rainfed,spread,low,no,sorghum,no
32,yes,Perkins,Per.2,40.881178,-101.840939,soybeans,strip-till,centerpivot,spread,intermediate,no,corn,yes
1,no,Perkins,Per.3,40.814409,-101.775249,fallow/cornstalks,tilled,rainfed,spread,high,no,corn,no
10,yes,Perkins,Per.4,40.852538,-101.706116,soybeans,no-till,centerpivot,spread,high,yes,corn,yes
1,no,Perkins,Per.5,40.843726,-101.623288,other,no-till,centerpivot,spread,intermediate,no,fallow/cornstalks,no
1,no,Perkins,Per.6,40.843834,-101.575231,other,no-till,centerpivot,spread,high,yes,fallow/cornstalks,no
2,yes,RedWillow,Red.1,40.253016,-100.735672,soybeans,no-till,centerpivot,edges,high,yes,corn,no
2,yes,RedWillow,Red.2,40.183597,-100.697959,corn,tilled,centerpivot,edges,high,yes,corn,yes
2,yes,RedWillow,Red.3,40.119661,-100.561002,wheatstubble,no-till,rainfed,spread,intermediate,no,wheat,no
2,yes,RedWillow,Red.4,40.089701,-100.458605,corn,no-till,rainfed,spread,low,yes,corn,yes
1,no,RedWillow,Red.5,40.206921,-100.497,fallow/cornstalks,no-till,rainfed,spread,high,yes,corn,yes
