geneamp,geneampR,glyresistant,pporesist,multiple,county,population,latitude ,longitude,currentcrop,tillage,irrigation,populationdistribution,populationdensity,herbicideinjury,previouscrop,greenhouse
32,39,yes,no,gly,Perkins,Per.2,40.881178,-101.840939,soybeans,strip-till,centerpivot,spread,intermediate,no,corn,yes
1,1,no,no,sucep,Perkins,Per.3,40.814409,-101.775249,fallow/cornstalks,tilled,rainfed,spread,high,no,corn,no
10,14,yes,no,gly,Perkins,Per.4,40.852538,-101.706116,soybeans,no-till,centerpivot,spread,high,yes,corn,yes
1,1,no,yes,ppo,Perkins,Per.5,40.843726,-101.623288,other,no-till,centerpivot,spread,intermediate,no,fallow/cornstalks,no
1,1,no,yes,ppo,Perkins,Per.6,40.843834,-101.575231,other,no-till,centerpivot,spread,high,yes,fallow/cornstalks,no
2,3,yes,yes,both,Red Willow,Red.1,40.253016,-100.735672,soybeans,no-till,centerpivot,edges,high,yes,corn,no
2,3,yes,yes,both,Red Willow,Red.2,40.183597,-100.697959,corn,tilled,centerpivot,edges,high,yes,corn,yes
2,6,yes,yes,both,Red Willow,Red.3,40.119661,-100.561002,wheatstubble,no-till,rainfed,spread,intermediate,no,wheat,no
2,5,yes,yes,both,Red Willow,Red.4,40.089701,-100.458605,corn,no-till,rainfed,spread,low,yes,corn,yes
1,1,no,no,sucep,Red Willow,Red.5,40.206921,-100.497,fallow/cornstalks,no-till,rainfed,spread,high,yes,corn,yes
